"id","subject","journal","author","author_affiliate","author_notes"
"10.1371/journal.pone.0123765","/Medicine and health sciences/Cardiology; /Medicine and health sciences/Public and occupational health/Behavioral and social aspects of health; /Medicine and health sciences/Critical care and emergency medicine; /Research and analysis methods/Research design/Survey research/Questionnaires; /Medicine and health sciences/Critical care and emergency medicine/Resuscitation; /People and places/Population groupings/Professions/Medical doctors/Physicians; /People and places/Demography; /Medicine and health sciences/Critical care and emergency medicine/Trauma medicine/Trauma surgery; /Medicine and health sciences/Surgical and invasive medical procedures/Trauma surgery; /Medicine and health sciences/Health care/Health care providers/Medical doctors/Physicians","PLOS ONE","Hassan Soleimanpour; Wilhelm Behringer; Jafar Sadegh Tabrizi; Kambiz Sarahrudi; Samad E J Golzari; Stefan Hajdu; Maryam Rasouli; Mehdi Nikakhtar; Robab Mehdizadeh Esfanjani","Tabriz Health Services Management Research Center, Tabriz University of Medical Sciences, Tabriz-51664, I.R., Iran; Department of Emergency Medicine, Medical University of Vienna, Vienna General Hospital, Waehringer Guertel 18–20, 1090 Vienna, Austria; Department of Traumatology, Medical University of Vienna, Waehringer Guertel 18–20, A-1090 Vienna, Austria; Cardiovascular Research Center, Tabriz University of Medical Sciences, Tabriz-51664, I.R., Iran; Students’ Research Committee, Tabriz University of Medical Sciences, Tabriz-51664, I.R., Iran; Department of Emergency Medicine, Tabriz University of Medical Sciences, Tabriz-51664, I.R., Iran; Neurosciences Research Center, Tabriz University of Medical Sciences, Tabriz-51664, I.R., Iran","Conceived and designed the experiments: HS WB. Performed the experiments: JST KS SH. Analyzed the data: RME ER. Contributed reagents/materials/analysis tools: MR MN. Wrote the paper: HS WB SG. Critical revisions of the manuscript: WB."
"10.1371/journal.pone.0113586","/Biology and life sciences/Anatomy/Body fluids/Blood/Blood flow; /Medicine and health sciences/Oncology/Cancer treatment; /Biology and life sciences/Physiology/Body fluids/Blood/Blood flow; /Medicine and health sciences/Hematology/Blood/Blood flow; /Biology and life sciences/Physiology/Cardiovascular physiology/Angiogenesis/Tumor angiogenesis; /Medicine and health sciences/Pharmacology/Drugs/Vasodilators; /Medicine and health sciences/Physiology/Cardiovascular physiology/Angiogenesis/Tumor angiogenesis; /Medicine and health sciences/Anatomy/Body fluids/Blood/Blood flow; /Medicine and health sciences/Oncology/Basic cancer research/Tumor physiology/Tumor angiogenesis; /Medicine and health sciences/Oncology/Basic cancer research/Tumor physiology; /Medicine and health sciences/Pharmacology/Routes of administration/Intraperitoneal injections; /Biology and life sciences/Developmental biology/Angiogenesis/Tumor angiogenesis; /Medicine and health sciences/Pulmonology/Medical hypoxia; /Medicine and health sciences/Physiology/Body fluids/Blood/Blood flow; /Medicine and health sciences/Pharmacology/Drugs/Pro-drugs","PLoS ONE","Kate M Bailey; Heather H Cornnell; Arig Ibrahim-Hashim; Jonathan W Wojtkowiak; Charles P Hart; Xiaomeng Zhang; Rafael Leos; Gary V Martinez; Amanda F Baker; Robert J Gillies","Department of Cancer Imaging and Metabolism, H. Lee Moffitt Cancer Center and Research Institute, Tampa, Florida 33612, United States of America; Department of Radiology, H. Lee Moffitt Cancer Center and Research Institute, Tampa, Florida 33612, United States of America; Arizona Cancer Center, Hematology/Oncology Section, College of Medicine, University of Arizona, Tucson, Arizona 85724, United States of America; Threshold Pharmaceuticals, South San Francisco, California 94080, United States of America; Cancer Biology Ph.D. Program, University of South Florida, Tampa, Florida 33612, United States of America","Conceived and designed the experiments: KMB HHC AIH JWW XZ GVM AFB RJG. Performed the experiments: KMB HHC AIH RL JWW AFB. Analyzed the data: KMB HHC AFB RJG. Contributed reagents/materials/analysis tools: KMB HHC AIH JWW CPH XZ GVM AFB RJG. Wrote the paper: KMB HHC AIH JWW CPH XZ GVM AFB RJG."
"10.1371/journal.pone.0113613","/Research and analysis methods/Specimen preparation and treatment/Staining/Cytoplasmic staining; /Medicine and health sciences/Pharmacology/Pharmacokinetics/Drug metabolism; /Biology and life sciences/Anatomy/Biological tissue/Ganglia; /Medicine and health sciences/Vascular medicine/Ischemia; /Biology and life sciences/Biochemistry/Neurochemistry/Neurotransmitters/Glutamate; /Medicine and health sciences/Anatomy/Biological tissue/Ganglia; /Biology and life sciences/Neuroscience/Neurochemistry/Neurotransmitters/Glutamate; /Biology and life sciences/Biochemistry/Oxidative damage/Reactive oxygen species; /Biology and life sciences/Cell biology/Cellular types/Animal cells/Neurons; /Medicine and health sciences/Critical care and emergency medicine/Reperfusion","PLoS ONE","Elisa Carpanese; Paola Moretto; Viviana Filpa; Silvia Marchet; Elisabetta Moro; Francesca Crema; Gianmario Frigo; Cristina Giaroni","Department of Clinical and Experimental Medicine, University of Insubria, Varese, Italy; Department of Surgical and Morphological Sciences, University of Insubria, Varese, Italy; Department of Internal Medicine and Therapeutics, University of Pavia, Pavia, Italy","Conceived and designed the experiments: EC PM VF SM CG. Performed the experiments: EC PM VF SM EM. Analyzed the data: EC VF CG. Contributed reagents/materials/analysis tools: FC GF CG. Wrote the paper: EC FC GF CG."
"10.1371/journal.pone.0135332","/Biology and life sciences/Molecular biology/Molecular biology techniques/Sequencing techniques/DNA sequencing/Next-generation sequencing; /Biology and life sciences/Molecular biology/Molecular biology techniques/Sequencing techniques/Nucleotide sequencing; /Biology and life sciences/Genetics/Heredity/Genetic mapping/Variant genotypes; /Research and analysis methods/Molecular biology techniques/Sequencing techniques/Nucleotide sequencing; /Biology and life sciences/Molecular biology/Molecular biology techniques/Sequencing techniques/Genome sequencing; /Physical sciences/Mathematics/Probability theory/Statistical distributions; /Biology and life sciences/Molecular biology/Molecular biology techniques/Sequencing techniques/Sequence analysis/Sequence alignment; /Research and analysis methods/Molecular biology techniques/Sequencing techniques/DNA sequencing/Next-generation sequencing; /Biology and life sciences/Genetics/Genetic loci/Alleles; /Physical sciences/Mathematics/Statistics (mathematics)/Statistical methods/Test statistics; /Research and analysis methods/Molecular biology techniques/Sequencing techniques/Sequence analysis/Sequence alignment; /Biology and life sciences/Genetics/Genomics/Genome analysis/Transcriptome analysis/Next-generation sequencing; /Biology and life sciences/Computational biology/Genome analysis/Transcriptome analysis/Next-generation sequencing; /Research and analysis methods/Molecular biology techniques/Sequencing techniques/Genome sequencing; /Research and analysis methods/Mathematical and statistical techniques/Statistical methods/Test statistics","PLOS ONE","Jiyuan Hu; Tengfei Li; Zidi Xiu; Hong Zhang","State Key Laboratory of Genetic Engineering and Institute of Biostatistics, School of Life Sciences, Fudan University, 220 Handan Road, Shanghai 200433, P. R. China; HKUST Jockey Club Institute for Advanced Study, The Hong Kong University of Science and Technology, Hong Kong, P.R. China","Conceived and designed the experiments: JH HZ. Performed the experiments: JH TL. Analyzed the data: JH ZX. Contributed reagents/materials/analysis tools: JH HZ. Wrote the paper: JH TL HZ."
"10.1371/journal.pone.0113474","/Biology and life sciences/Anatomy/Abdomen; /Medicine and health sciences/Anatomy/Abdomen; /Biology and life sciences/Anatomy/Ocular system/Eyes; /Computer and information sciences/Data management/Taxonomy/New species reports; /People and places/Geographical locations/Asia/China; /Medicine and health sciences/Anatomy/Ocular system/Ocular anatomy/Fovea centralis; /People and places/Geographical locations/North America; /Medicine and health sciences/Anatomy/Ocular system/Eyes; /Biology and life sciences/Anatomy/Ocular system/Ocular anatomy/Fovea centralis; /People and places/Geographical locations/Asia/Thailand; /Biology and life sciences/Organisms/Animals/Invertebrates/Arthropoda/Insects/Beetles; /Medicine and health sciences/Anatomy/Head/Eyes; /Biology and life sciences/Anatomy/Head/Eyes; /Biology and life sciences/Taxonomy/New species reports","PLoS ONE","Zi-Wei Yin; Li-Zhen Li","Department of Biology, College of Life and Environmental Sciences, Shanghai Normal University, Shanghai, P. R. China","Conceived and designed the experiments: ZWY LZL. Performed the experiments: ZWY. Analyzed the data: ZWY LZL. Contributed reagents/materials/analysis tools: ZWY LZL. Wrote the paper: ZWY."
"10.1371/journal.pone.0102180","/Research and analysis methods/Imaging techniques/In vivo imaging; /Medicine and health sciences/Oncology/Cancer treatment; /Medicine and health sciences/Hematology/Blood; /Research and analysis methods/Chromatographic techniques/Liquid chromatography/Reversed phase chromatography/Reversed-phase high performance liquid chromatography; /Research and analysis methods/Chromatographic techniques/Liquid chromatography/High performance liquid chromatography; /Medicine and health sciences/Anatomy/Body fluids/Blood; /Medicine and health sciences/Pharmacology/Pharmacokinetics/Drug metabolism; /Medicine and health sciences/Physiology/Body fluids/Blood; /Biology and life sciences/Anatomy/Body fluids/Blood; /Physical sciences/Chemistry/Radiochemistry/Radioactivity; /Research and analysis methods/Chromatographic techniques/Liquid chromatography/High performance liquid chromatography/Reversed-phase high performance liquid chromatography; /Biology and life sciences/Physiology/Body fluids/Blood; /Medicine and health sciences/Pharmacology/Routes of administration/Intravenous injections; /Physical sciences/Physics/Nuclear physics/Radioactivity","PLoS ONE","Takashi Temma; Hirofumi Hanaoka; Aki Yonezawa; Naoya Kondo; Kohei Sano; Takeharu Sakamoto; Motoharu Seiki; Masahiro Ono; Hideo Saji","Department of Patho-Functional Bioanalysis, Graduate School of Pharmaceutical Sciences, Kyoto University, Sakyo-ku, Kyoto, Japan; Department of Molecular Imaging and Radiotherapy, Graduate School of Pharmaceutical Sciences, Chiba University, Chuo-ku, Chiba, Japan; Radioisotopes Research Laboratory, Kyoto University Hospital, Faculty of Medicine, Kyoto University, Sakyo-ku, Kyoto, Japan; Division of Cancer Cell Research, Institute of Medical Science, The University of Tokyo, Minato-ku, Tokyo, Japan","Conceived and designed the experiments: TT HH HS. Performed the experiments: TT HH AY NK KS. Analyzed the data: TT HH AY MO HS. Contributed reagents/materials/analysis tools: TT HH TS MS HS. Wrote the paper: TT HH AY HS."
"10.1371/journal.pone.0102608","/Medicine and health sciences/Anatomy/Cardiovascular anatomy/Heart/Myocardium; /Medicine and health sciences/Surgical and invasive medical procedures/Electrical stimulation; /Physical sciences/Physics/Electricity/Electric field; /Biology and life sciences/Agriculture/Livestock/Swine; /Medicine and health sciences/Cardiology/Cardiac pacing; /Engineering and technology/Electronics/Electrodes/Anodes; /Biology and life sciences/Anatomy/Cardiovascular anatomy/Heart/Myocardium; /Engineering and technology/Measurement/Distance measurement; /Engineering and technology/Electronics/Electrodes/Cathodes; /Biology and life sciences/Organisms/Animals/Vertebrates/Mammals/Swine","PLoS ONE","Jin-Long Huang; Yenn-Jiang Lin; Yi-Wen Hung; Yu-Cheng Hsieh; Chien-Ming Cheng; Kuo-Yang Wang","Cardiovascular Center, Taichung Veterans General Hospital, Taichung, Taiwan; Institute of Clinical Medicine, and Cardiovascular Research Institute, Department of Medicine, School of Medicine, National Yang-Ming University, Taipei, Taiwan; Department of Medicine, School of Medicine, Chung-Shan Medical University, Taichung, Taiwan; Division of Cardiology, Department of Medicine, Taipei Veterans General Hospital, Taipei, Taiwan; Department of Education and Research, Taichung Veterans General Hospital, Department of Veterinary Medicine, College of Veterinary Medicine, National Chung Hsing University, Taichung, Taiwan; Division of Cardiology, Department of Medicine, Feng Yuan Hospital of the Ministry of Health and Welfare, Executive Yuan, Taichung City, Taiwan (R.O.C)","Conceived and designed the experiments: JLH Y-JL YCH. Performed the experiments: JLH Y-JL YWH CMC. Analyzed the data: JLH Y-JL. Contributed reagents/materials/analysis tools: JLH KYW. Contributed to the writing of the manuscript: JLH Y-JL."
"10.1371/journal.pone.0080846","/Biology and life sciences/Biochemistry/Nucleic acids/DNA/DNA modification/DNA methylation; /Biology and life sciences/Genetics/Heredity/Genetic mapping/Variant genotypes; /Biology and life sciences/Genetics/Epigenetics/Chromatin/Chromatin modification/DNA methylation; /Biology and life sciences/Genetics/Gene expression/Chromatin/Chromatin modification/DNA methylation; /Biology and life sciences/Genetics/Epigenetics; /Medicine and health sciences/Oncology/Cancers and neoplasms/Thymoma; /Biology and life sciences/Genetics/Epigenetics/DNA modification/DNA methylation; /Biology and life sciences/Immunology/Clinical immunology/Autoimmune diseases/Myasthenia gravis; /Biology and life sciences/Immunology/Immune system/Thymus; /Biology and life sciences/Genetics/Gene expression/DNA modification/DNA methylation; /Medicine and health sciences/Immunology/Clinical immunology/Autoimmune diseases/Myasthenia gravis; /Medicine and health sciences/Clinical medicine/Clinical immunology/Autoimmune diseases/Myasthenia gravis; /Biology and life sciences/Genetics/DNA/DNA modification/DNA methylation; /Biology and life sciences/Immunology/Clinical immunology/Autoimmune diseases; /Medicine and health sciences/Immunology/Clinical immunology/Autoimmune diseases; /Biology and life sciences/Genetics/Genetic loci/Alleles; /Medicine and health sciences/Immunology/Immune system/Thymus; /Biology and life sciences/Cell biology/Chromosome biology/Chromatin/Chromatin modification/DNA methylation; /Medicine and health sciences/Clinical medicine/Clinical immunology/Autoimmune diseases","PLoS ONE","Fabio Coppedè; Roberta Ricciardi; Maria Denaro; Anna De Rosa; Carlo Provenzano; Emanuela Bartoccioni; Angelo Baggiani; Marco Lucchi; Alfredo Mussi; Lucia Migliore","Department of Translational Research and New Technologies in Medicine and Surgery, University of Pisa, Pisa, Italy; Division of Neurology, Department of Neuroscience, University of Pisa, Pisa, Italy; Division of Thoracic Surgery, Cardiac and Thoracic Department, University of Pisa, Pisa, Italy; Institute of General Pathology, Catholic University of Rome, Rome, Italy","Conceived and designed the experiments: FC LM. Performed the experiments: FC MD. Analyzed the data: FC MD ADR AB. Contributed reagents/materials/analysis tools: FC RR CP EB ML AM LM. Wrote the manuscript: FC."
"10.1371/journal.pone.0057430","/Medicine and health sciences/Neurology/Demyelinating disorders/Multiple sclerosis; /Medicine and health sciences/Anatomy/Biological tissue/Ganglia; /Biology and life sciences/Cell biology/Cytochemistry/Immunocytochemistry; /Medicine and health sciences/Anatomy/Biological tissue/Epithelium/Epithelial cells/Endothelial cells; /Biology and life sciences/Immunology/Immunomodulation; /Medicine and health sciences/Immunology/Clinical immunology/Autoimmune diseases/Multiple sclerosis; /Biology and life sciences/Molecular biology/Molecular biology techniques/Molecular biology assays and analysis techniques/Gene expression and vector techniques/Hyperexpression techniques; /Biology and life sciences/Biochemistry/Cytochemistry/Immunocytochemistry; /Biology and life sciences/Biochemistry/Proteins/Cytoskeletal proteins/Actins; /Medicine and health sciences/Clinical medicine/Clinical immunology/Autoimmune diseases/Multiple sclerosis; /Biology and life sciences/Immunology/Immune system proteins/Antibodies; /Medicine and health sciences/Physiology/Immune physiology/Antibodies; /Biology and life sciences/Anatomy/Biological tissue/Ganglia; /Medicine and health sciences/Immunology/Immunomodulation; /Biology and life sciences/Biochemistry/Proteins/Contractile proteins/Actins; /Research and analysis methods/Molecular biology techniques/Molecular biology assays and analysis techniques/Gene expression and vector techniques/Hyperexpression techniques; /Medicine and health sciences/Neurology/Neurodegenerative diseases/Multiple sclerosis; /Biology and life sciences/Physiology/Immune physiology/Antibodies; /Medicine and health sciences/Immunology/Immune system proteins/Antibodies; /Biology and life sciences/Biochemistry/Proteins/Immune system proteins/Antibodies; /Biology and life sciences/Anatomy/Biological tissue/Epithelium/Epithelial cells/Endothelial cells; /Biology and life sciences/Immunology/Clinical immunology/Autoimmune diseases/Multiple sclerosis; /Biology and life sciences/Cell biology/Cellular types/Animal cells/Epithelial cells/Endothelial cells","PLoS ONE","Cyrille Deboux; Sophia Ladraa; Sylvie Cazaubon; Siham Ghribi-Mallah; Nicolas Weiss; Nathalie Chaverot; Pierre Olivier Couraud; Anne Baron-Van Evercooren","Université Pierre et Marie Curie-Paris 6, Centre de Recherche de l’Institut du Cerveau et de la Moelle Epinière, UMR-S975, Paris, France; Inserm, U 975, Paris, France; CNRS, UMR 7225, Paris, France; Assitance Publique-Hôpitaux de Paris, Hôpital Pitié-Salpêtrière, Fédération de Neurologie; Inserm, U1016, Institut Cochin, Paris, France; CNRS (UMR8104), Paris Descartes, France; Université Paris Descartes, Sorbonne Paris Cité, Paris, France","Conceived and designed the experiments: CD SC NW POC AB-VE. Performed the experiments: CD SL SC SG-M NW NC. Analyzed the data: CD NW POC AB-VE. Wrote the paper: CD SC NW POC AB-VE."
"10.1371/journal.pone.0024008","/Medicine and health sciences/Anatomy/Ocular system/Ocular anatomy/Corneal epithelium; /Biology and life sciences/Anatomy/Ocular system/Eyes; /Physical sciences/Physics/Classical mechanics/Reflection; /Biology and life sciences/Cell biology/Cellular types/Animal cells/Epithelial cells; /Medicine and health sciences/Anatomy/Biological tissue/Epithelium; /Medicine and health sciences/Anatomy/Ocular system/Ocular anatomy/Cornea; /Medicine and health sciences/Anatomy/Biological tissue/Epithelium/Epithelial cells; /Biology and life sciences/Anatomy/Ocular system/Ocular anatomy/Cornea; /Research and analysis methods/Imaging techniques; /Biology and life sciences/Anatomy/Ocular system/Ocular anatomy/Corneal epithelium; /Biology and life sciences/Anatomy/Biological tissue/Epithelium; /Medicine and health sciences/Anatomy/Ocular system/Eyes; /Biology and life sciences/Anatomy/Biological tissue/Epithelium/Epithelial cells; /Medicine and health sciences/Anatomy/Head/Eyes; /Biology and life sciences/Anatomy/Head/Eyes; /Biology and life sciences/Cell biology/Cellular structures and organelles/Cell membranes","PLoS ONE","Connie Tam; Jeffrey LeDue; James J Mun; Paul Herzmark; Ellen A Robey; David J Evans; Suzanne M J Fleiszig","School of Optometry, University of California, Berkeley, California, United States of America; Program in Vision Science, University of California, Berkeley, California, United States of America; Department of Molecular and Cell Biology, University of California, Berkeley, California, United States of America; College of Pharmacy, Touro University California, Vallejo, California, United States of America; Programs in Infectious Diseases and Immunity and Microbiology, University of California, Berkeley, California, United States of America","Conceived and designed the experiments: CT DJE EAR SMJF. Performed the experiments: CT JL JJM PH. Analyzed the data: CT JL EAR DJE SMJF. Wrote the paper: CT JL EAR DJE SMJF. Developed the traversal quantification method: JL CT."
